Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Customer,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID
7/10/15,Bank account or service,Other bank product/service,"Account opening, closing, or management",None,"On XXXX XXXX 2015 we sent Chase bank a letter requesting, under the XXXX XXXX XXXX, part of RESPA, a "" qualified written request ''. Chase responded they do n't recognize our current address and asked us to send them a signed letter verifying our current address which we did, along with another copy of the original letter on XXXX XXXX 2015. They responded with same request for us to send address verification. We have done so. If you look at our credit reports our current address shows up, if Chase does not believe us a soft inquiry to our credit report would solve the problem. They have done these inquiries in the past. It is obvious they are avoiding us and breaking the law which REQUIRES a response in 20 days. They are intentionally causing us harm and we believe part of it is because we are a XXXX XXXX family.",None,JPMORGAN CHASE & CO.,TX,786XX,None,Consent provided,Web,7/10/15,Closed with explanation,Yes,No,1462128
7/4/16,Bank account or service,Checking account,"Account opening, closing, or management",None,"I opened a Citigold checking account with Citibank on XXXX/XXXX/16. I used an offer that had been extended by Citibank for XXXX Thank You points after meeting the criteria of performing a bill pay 2 seperate months within 60 days of opening the account. I met these conditions and confirmed with a Citigold representative ( XXXX ) via chat on XXXX/XXXX/16 that I had met all the requirements to receive the promotion. After waiting several months, I was told by a different Citigold representative ( XXXX ) via chat on XXXX/XXXX/16 that I would not be getting the bonus and that an "" investigation '' would occur to see what the problem was. On XXXX/XXXX/16 after the investigation was denied, I was told by another representative ( XXXX ) that I was declined because I could not produce any original paperwork of the offer that Citi already confirmed I was eligible for on XXXX/XXXX/16.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CITIBANK, N.A.",VA,224XX,None,Consent provided,Web,7/4/16,Closed with non-monetary relief,Yes,No,1996749
06/30/16,Bank account or service,Checking account,"Account opening, closing, or management",None,"I signed up for a Citigold personal checking account with Citibank , NA, pursuant to a promotion offering XXXX XXXX XXXX Advantage miles contingent on meeting certain requirements after opening the account. The Citi promotion code was XXXX. On XXXX XXXX, 2016, I sought to confirm with Citi, in writing, that the promotional offer was linked to my count. On XXXX XXXX, I received a response from XXXX XXXX XXXX stating that Citi confirmed my account was enrolled in the promotional offer. The communication went on to list out my progress toward completing the requirements ( XXXX out of XXXX were completed at the time ), and contained an affirmative statement that the Aadvantage miles would be credited to my account following my completion of the last requirement. On XXXX XXXX, 2016, via secure message, I again contacted Citi to inform them that I had completed the last of my requirements, and sought to know when I should expect the miles to be credited to my account. The Citigold representative ( XXXX XXXX XXXX ) responded on XXXX XXXX, 2016, in writing, stating that I had indeed completed all requirements associated with the aforementioned promotion code, and that, per the terms and conditions of the offer, I would receive the miles 90 days from the end of the statement cycle in which the requirements were completed. The Representative further stated that the miles would be credited to my Aadvantage account by XXXX/XXXX/2016. I accepted this as true, and after waiting over three months and still having not received the miles, I again contacted Citigold via secure message on XXXX/XXXX/2016 to inquire about the miles that should have posted. I received a reply ( from a XXXX XXXX ) the following day stating that Citibank now deems me ineligible for the offer, because, they contend, that this was a "" targeted promotion to which ( I was ) not a participant. '' The Citi representative went on to state that though I met the requirements, this does not render me eligible for the promotion ( which is in direct conflict with what the other Citi representative told me three months ago ). Citi 's sudden reversal of position after confirming my eligibility and going so far as to tell me a specific date when to expect the promo miles to transfer to my account is a reprehensible act. They held out an offer to induce my business, I accepted, and even went out of my way to confirm that their records indicated that I had met the terms of the offer, and received such confirmation, only to be told three months later that Citi has now decided not to honor their offer. This is a classic bait-and-switch tactic. If I were truly ineligible for the promotion ( which I dispute ), I should have been told the same by XXXX of the XXXX different Citi representative that I proactively sought confirmation from in XXXX, 2016. If XXXX out of XXXX Citi representatives are n't able to tell whether I 'm eligible for a promotion, then how can I be reasonably expected to know? Citi should stand by its representations and honor the deal. The written correspondence is attached and is offered as evidence.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CITIBANK, N.A.",FL,323XX,None,Consent provided,Web,06/30/16,Closed with non-monetary relief,Yes,No,1993110
03/21/17,Bank account or service,Checking account,"Account opening, closing, or management",None,"Citibank had a promotion requesting people open a checking account and deposit {$15000.00}, maintain it for three months, after which customers would receive an {$400.00} account bonus. I called them and opened the account, funded the account on XX/XX/XXXX and maintained the required balance. The bonus should have been posted on XX/XX/XXXX but Citibank has not deposited the bonus as promised.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CITIBANK, N.A.",TX,770XX,None,Consent provided,Web,03/21/17,Closed with explanation,Yes,No,2395533
11/12/16,Bank account or service,Other bank product/service,"Account opening, closing, or management",None,"Good Morning CFPB, My wife and I used SunTrust Rewards to book hotels in XXXX XXXX, Nevada and XXXX XXXX, South Carolina on XXXX/XXXX/2016. The reservation for XXXX XXXX was excellent, and we even called back to have our room upgraded. The reservation for XXXX XXXX has been a total nightmare for us. We have spoke to the same supervisor twice concerning our reservation. She continually informs her customers that they are incorrect, because she listened to a recording between the technician on duty and XXXX XXXX XXXX. The supervisor never offered too allow us the opportunity to listen to the tape ; however ; she consistently informed the customers that we are wrong. I am simply asking that my reservation on XXXX/XXXX/2016 be modified from XXXX villas to XXXX villa with XXXX bedrooms. We have spent many hours trying to rectify this problem with XXXX and SunTrust. We have come to the conclusion that we will eat the additional {$520.00} for a villa that we do not need ; however, we will discontinue all services at SunTrust. We have been loyal customers for over 22 years, but we will be moving all services to XXXX XXXX if we can not resolve this issue with SunTrust Rewards. We spend thousands through SunTrust Rewards every month, and we are dissatisfied with the service that we received from SunTrust Rewards management. They made a correction to my XXXX XXXX trip ; however, no correction can be made to our XXXX XXXX trip. We are tired, and we deserve better. Bottom Line is We are totally dissatisfied, and we will transfer all accounts if this problem is not rectified in a timely manner. We are considering talking to the XXXX concerning this issue. Our next letter will be directed to SunTrust Board of directors if this issue is not resolved in a timely manner. Respectfully, XXXX & XXXX XXXX XXXX",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"SUNTRUST BANKS, INC.",VA,None,None,Consent provided,Web,11/28/16,Closed with monetary relief,Yes,No,2205634
01/13/16,Bank account or service,Savings account,"Account opening, closing, or management",None,"I opened an discover bank saving account with a promotion code of XXXX. The promotion is {$100.00} bonus when I make {$15000.00} deposit by XXXX XXXX, 2015. I did make enough deposit by that deadline. However, months passed, but there is no bonus awarded. I contacted Discover bank several times, they always say they will check it and it would take more than one month to give me feedback.",None,DISCOVER BANK,CA,926XX,None,Consent provided,Web,01/13/16,Closed with monetary relief,Yes,No,1742653
9/9/16,Bank account or service,Savings account,"Account opening, closing, or management",None,"On XXXX XXXX 2016 my wife and I went to a Wells Fargo branch to consolidate XXXX of our XXXX accounts .we wanted to close the business saving and checking accounts and transfer their balances to our personal saving and checking accounts.. The representative sent me to the cashier with a clear note telling her what she want the cashier to do. While I was waiting at the cashier my wife was waiting at the representative service desk. At the same time I picket up a phone call that distracted me for a good 5 minutes from the transaction And I just grab the receipt and call my wife : let 's go. The next morning .I went to check my accounts on line to review the transactions. that was catastrophic. The money from my personal account over {$3000.00} plus change was missing, and the amount from the business account was transferred to a teenager saving account that we had opened for my son. So I rushed to the same branch to see what happen to my money from my personal saving, no one could find a trace of the account and its amount .I change branch and went to another XXXX, also no one could help .Finally, late at night, By XXXX in the morning, as I could n't sleep, I called the bank toll free number. and they told me that they have located the account but they do n't know what happen to the money and the account seems to be closed more than a year ago.so I lost my life saving with no explanation .Is there any thing I can do? My name is XXXX XXXX XXXX XXXX my mailing address is XXXX XXXX XXXX, XXXX FL XXXX. Phone # XXXX XXXX XXXX Thank you!!",Company has responded to the consumer and the CFPB and chooses not to provide a public response,WELLS FARGO & COMPANY,FL,322XX,None,Consent provided,Web,09/14/16,Closed with explanation,Yes,No,2103266
11/3/16,Bank account or service,Checking account,"Account opening, closing, or management",None,"WF is 1 ) arbitrarily "" converting '' accounts to ones with higher fee requirements ... 2 ) deceptively using online statements to communicate this unexpected account conversion activity not requiring statement review and ... 3 ) failing to disclose and notify account holders of alternative accounts with similar fee requirements of existing accounts in the same statements regarding account "" conversion '' ...",Company has responded to the consumer and the CFPB and chooses not to provide a public response,WELLS FARGO & COMPANY,FL,None,None,Consent provided,Web,11/7/16,Closed with explanation,Yes,No,2193570
07/13/16,Bank account or service,Other bank product/service,"Account opening, closing, or management",None,"I presently have US Bank which operates my loan. I have paid them on time and the same amount for over a year without any issue. I am a good customer with a good credit score. I applied to US Bank for a VA Home Refinancing with Cash-out. I wanted to do home improvements and clean debt. My home appraisal came out to {$320000.00} and cost {$400.00}. During the initial process, I explained to XXXX XXXX and XXXX XXXX that I work for a captive law firm, and while my law firm was in existence for just over 14 months, the firm itself had operated in the same location, with the same client base for over 16 years. They said this would not be a problem. They were very responsive in the beginning, and i provided all documents timely. HOWEVER, all of a sudden they went radio silence. I find out the Underwriting team wo n't approve the loan because I do n't have two full years of business records for the firm. This firm employees over XXXX people and been operating in the same place and location for over 15 years. I had to leave five messages before I could get a call back to tell me the whole process was for not. When I asked why they did n't confirm underwriting would be ok with my situation before taking my {$400.00} for the appraisal, XXXX XXXX responded : "" We do alot of business, to do thing, s one at a time would be too slow. ''",Company has responded to the consumer and the CFPB and chooses not to provide a public response,U.S. BANCORP,PA,None,Servicemember,Consent provided,Web,07/13/16,Closed with monetary relief,Yes,Yes,2011367
09/16/15,Bank account or service,Other bank product/service,"Account opening, closing, or management",None,I try and opening a account with wells fargo i want to know why it wont let me and they told me to contact the consumer finance for more info,Company chooses not to provide a public response,WELLS FARGO & COMPANY,CA,936XX,None,Consent provided,Web,09/16/15,Closed with explanation,Yes,No,1568131
