Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Customer,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID
11/30/15,Bank account or service,Other bank product/service,"Account opening, closing, or management",None,i order a XXXX on line which the site said ebay and that i can pay with my pay pal account and that my order is protect. on XXXX/XXXX/2015 i get an email from XXXX saying my package was delivered as XXXX so i get home around XXXX and i see no package so i called XXXX and they said the package was passed off to United State Post Office and that they received an email from the post office that the package was delivered. So i called the post office and they tell me the package was left on the front pouch and i told them there was no package left i told them i went back to my camera that i have outside of my house and it do not show anyone coming in my from gate at the time they said the package was delivered so they open an investagation and gave me a claim number and said some will call me within XXXX hours. witch they did n't it was more like 5 days when i received a call back and the rep. just told me the same thing i had on my compliant form that the package was delivered on XXXX/XXXX/2015 at XXXX i told him this is the same information i put on my compliant tell me something else. I asked the rep. if he spoke with the person that said they delivered the package and he said no i said why not he said they might not remember i told him that 's not an answer he said he would checked with the person and get back with me. a few days went by and i call the post office back and they told me my case was closed i said the rep. i talk to was going to check and get back to me. so i open another case with the same complaint and they told me the same thing. no one did anything about this and i want to know why. right now im out XXXX and my son son do n't have his XXXX.,None,"Paypal Holdings, Inc",NY,105XX,Servicemember,Consent provided,Web,11/30/15,Closed with explanation,Yes,No,1675863
5/11/16,Bank account or service,Other bank product/service,"Account opening, closing, or management",None,"I had a PayPal account. It was linked to a Bill-Me-Later credit account. I eventually was unable to pay the Bill-Me-Later balance, so the account went into collections. I paid a small settlement and the remainder was reported to the IRS as a forgiveness of debt. This was a couple of years ago. Now I have decided to close my PayPal account and they are refusing to close it because of the charge-off they have recorded with Bill-Me-Later. I do n't care if they keep a record of the Bill-Me-Later account, but I want my PayPal account closed completely. They have said they can block all access to the account, but that they can not close it. I 'm sorry, but that 's unacceptable. I want nothing to do with PayPal. Again, I understand they need to keep the record of the settlement with PayPal Credit, but these are XXXX separate entities, one providing online financial transactions and the other providing credit services. They should be able to be unlinked for the purposes of closing a PayPal account. I have been trying for over a month just to close my account. I have spoken with numerous people in PayPal and PayPal Credit over this time, spending hours on hold, hours explaining repeatedly what the problem is, speaking with supervisors and so-called executive escalation representatives, lied to that someone would call back, and getting stonewalled every time. Once a representative even flat-out lied to me and said he had successfully closed my account, which was n't true.",None,"Paypal Holdings, Inc",CA,920XX,Older American,Consent provided,Web,5/11/16,Closed with explanation,Yes,Yes,1920392
05/29/15,Bank account or service,Checking account,"Account opening, closing, or management",None,"I formerly used Bank of the West in California for all my financial needs. On XXXX/XXXX/15 this financial institution forcefully closed my joint account without my authorization using funds from XXXX of my individual accounts to cover the overdrawn balance ( {$300.00} ). I was never contacted by this institution to inform me of the transfer of funds or the forced closure of the joint account. I would have covered the overdraft if I had known about it. The joint account was shared by myself and my wife, I only used it to transfer funds when she needed it. Since the account was operated and maintained by my wife, I was unaware of the negative balance. I contacted this institutions telephone customer service before XXXX/XXXX/15 to ask if the funds were wrongfully transferred and if the account was in fact closed. They informed me that it was in fact forceably closed. I than asked for copies of any and all disclosures which I may have signed on the account and or more particularly, the XXXX which releases the need for my personal authorization to transfer funds between account I hold. The representative than sounded confused and informed me that this financial institution does not need my approval to cover negative balances on accounts and that there are no disclosures associated with this account which they could provide me with. I know for a fact that there must at least be the disclosures I signed to open the account. I than asked to speak to a supervisor at which time, the representative informed me that the call center had already closed and she was the only person left in the building. I requested to see if some of the fees for this account which were well over XXXX percent of the overdue balance could be waived or partially waived to relieve some of the hardship which seemed so wrongfully poised in my position. I was instructed to talk to the branch which holds ownership of my accounts. This branch is in XXXX XXXX, CA. It is XXXX miles from my account. I requested long ago to have my accounts transfered to XXXX XXXX, CA. I was informed that the ownership of my account was not able to be changed and that I should close the accounts I had previously opened in XXXX XXXX, CA and than open new accounts with the branch in XXXX XXXX, CA. I declined to close these accounts since I did not see a need to burden myself with changing all of my finances to reflect the new account numbers. On XXXX/XXXX/15 I entered this financial institution 's branch in XXXX, CA on XXXX XXXX to close my remaining Individual Checking Account and move on to another financial institution. When my turn in line came, I told the teller at the window that I would like to close my account. The teller handed me {$1200.00}. I asked him if the account was now closed. He confirmed closure of the account. Today, XXXX/XXXX/15 I received an overdraft notification from this institution for the account which they had confirmed to have closed on XXXX/XXXX/15. I contacted customer service. I requested to speak to a supervisor. Once online, I started from the beginning informing her of the joint accounts forced closure. She reiterated that the institution does not require a signed disclosure to transfer personal funds. I asked for copies of the disclosures on my account. None have been provided. The supervisor once again told me that nothing can be reversed from within the call center and I would have to return to the branch. I talked to her about the individual accounts closure. She told me that there is no papertrail proving my intent to close the account. I have since incurred an autodebit and monthly service charge which have forced the account into the negative, an account which should have been closed. I feel that this institution has wronged me. I feel that they are in the business to collect fees solely. I feel that they do not care. I am being wronged for a XXXX time with no help.",Company chooses not to provide a public response,BANK OF THE WEST,CA,None,None,Consent provided,Web,05/29/15,Closed with explanation,Yes,No,1397456
02/24/16,Bank account or service,Other bank product/service,"Account opening, closing, or management",None,"My parents XXXX XXXX XXXX XXXX banked at Chase prior to both of there deaths. I want to know how a bank account can remain active after their deaths and if the bank has any property under my father XXXX XXXX. I am not sure why this account was able to have someone access it and transfer money into it which my attachments upon close review demonstrate this. I am attaching files which show the timeline of employees interaction upon his death. I want to be allowed to review his estate matters as no administrator. I want permission which as a person in his will and the Texas law allows As I have a certified copy of his will and his death certificate. I request information on both my parents to be reviewed. under the Texas Estste Code : Sec. 151.003 EXAMINATION OF DOCUMENT OR SAFE DEPOSIT BOX WITHOUT COURT ORDER ( a ) A person who possesses or controls a document delivered by a decedent for safekeeping or who leases a safe deposit box to a decedent may permit examination of the document or the contents of the safe deposit box by : ( 1 ) the decedent 's spouse ; ( 2 ) a parent of the decedent ; ( 3 ) a descendant of the decedent who is at least 18 years of age ; or ( 4 ) a person named as executor of the decedent 's estate ina copy of a document that the person has and that appears to be a will of the decedent. ( b ) An examination under Subsection ( a ) shall be conducted in the presence of the person who possesses or controls the document or who leases the safe deposit box or, if the person is a corporation, an officer of the corporation. I look forward to visit and review by parents closed accounts.",None,JPMORGAN CHASE & CO.,TX,77429,Older American,Consent provided,Web,02/24/16,Closed,Yes,No,1803565
10/3/16,Bank account or service,Checking account,"Account opening, closing, or management",None,I received a check from Citizens Bank in response to a consent order you filed. The the check was made out to XXXX XXXX XXXX which is my business which I closeda few years ago. It was a sole proprietorship and they still show me in their records. They would not cash the check at the bank because the business is closed. They would not reissue a check in my name when I called the number in the letter they sent with the check - XXXX.,None,"CITIZENS FINANCIAL GROUP, INC.",NY,None,None,Consent provided,Web,10/3/16,Closed with explanation,Yes,No,2143243
12/14/15,Bank account or service,Checking account,"Account opening, closing, or management",None,"I opened a XXXX svings/checking account and a line of credit with the Citizens Bank. I was told that there will be no maintenance fee if I had a direct deposit and keep the line of credit open. I always met both of these conditions of the bank. I had a less than {$20000.00} loan in my line of credit account and therefore paid {$50.00} annual fee separately for this reason. The Citizens Bank has charged me {$20.00} per month fee for 8 months. When I complained they reimbursed only {$60.00} for 3 months. However, this maintenance fee is totally bogus as I have always met the bank 's conditions. I have tried to speak with the bank a couple of times. Sent complain online but they do not care to resolve my issue and reimburse my remaining {$100.00}. This is an unscrupulous and deceiving practice of the bank to rip off customers like me and they are not willing to resolve it.",None,"CITIZENS FINANCIAL GROUP, INC.",NJ,None,None,Consent provided,Web,12/17/15,Closed with monetary relief,Yes,No,1695612
10/14/16,Bank account or service,Checking account,"Account opening, closing, or management",None,I have on-line banking with Suntrust in Florida but am currently living in the XXXX. I need to wire transfer a large sum of money for my living expenses to my XXXX bank account but Suntrust are refusing to allow me to do so. They say I need a wire transfer PIN number and the only way to get one is by visiting my branch in Florida. I am financially unable to comply with this unreasonable demand.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"SUNTRUST BANKS, INC.",None,None,None,Consent provided,Web,10/17/16,Closed with explanation,Yes,Yes,2161000
6/6/16,Bank account or service,Checking account,"Account opening, closing, or management",None,"I requested that my checking and savings accounts at a previous bank ( Suntrust ) be closed. At the time of the request, they were both in good standing with XXXX balance. My savings account was closed, but my checking account was not. Additional charges were posted to the account a week after the account should have been closed. Because of this, the account is now delinquent, and I can not close the account.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"SUNTRUST BANKS, INC.",CO,None,None,Consent provided,Web,6/6/16,Closed with monetary relief,Yes,No,1956546
3/10/16,Bank account or service,Checking account,"Account opening, closing, or management",None,I had a suntrust bank account a year ago. However upon getting a check and placing it in my account my account was locked and I was notified by the bank it was because I had place more money in my account then normal and they had to check for suspicious activity. I had no problem with that .i would say about a week or so later I got mail stating that my account was closed due to this and that they were going to reissue my funds. I got that specific check mailed back to me and I was told that I could cash it at another place .i took that check to be cashed at XXXX .where I waited for about a hour for the young lady to tell me that she could n't cash it and no one else would be able to go back to suntrust to cash the check. I was never able to cash it and I 'm frustration I just gave up .fast forward to now I wanted to open a bank account with XXXX XXXX XXXX . I was approved and told I was going to get my card in the mail .before I even got my card I got a letter stating my account was closed .when I called to inquire why it was closed so abruptly without me using it I was told that it was due p fraudulent checks which I was bewildered about because I never had placed any funds into this account and I never obtained a XXXX XXXX XXXX account . I then tried with XXXX XXXX with no avail but being told the same dilemma .while having a suntrust account o never was told of this and now I ca n't open up a account anywhere until the issue is resolved,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"SUNTRUST BANKS, INC.",FL,330XX,None,Consent provided,Web,3/10/16,Closed with non-monetary relief,Yes,No,1826405
08/20/15,Bank account or service,Cashing a check without an account,"Account opening, closing, or management",None,"Since a previous check from a US Bank customer had bounced when I submitted it to my bank ( XXXX XXXX, I went to US Bank to cash a new check from this person, to ensure that the funds were there, and prevent any possible fee by my bank if I cashed it there. I presented my government issued identification, but since I do not have a US Bank account, I was told that I would be charged {$7.00} to cash the check. I declined to pay the fee, and asked whether appropriate funds were in the US Bank account to cover the check. I then retrieved the check and deposited it into my XXXX bank account. I believe US Bank should not be able to charge someone for honoring a check drawn on one of their checking accounts, so I am submitting this complaint. I think CFPB should look into this practice, by US Bank and any other bank that offers checking account services.",Company chooses not to provide a public response,U.S. BANCORP,IL,None,None,Consent provided,Web,08/20/15,Closed with explanation,Yes,No,1527733
