Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Customer,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID
8/1/16,Bank account or service,Checking account,"Account opening, closing, or management",None,"I signed up for Citibank 's Citigold account via a promotional code ( XXXX ) in XXXX 2015. The promotion was to to earn XXXX XXXX XXXX AAdvantage miles. Earlier this year, I met all the requirements. However, the XXXX miles still have not been deposited into my account. I spoke with and messaged Citibank multiple times over the course of the past few months ( both by phone and via online chat ). Every time, they told me that the promotion code was good, confirmed that I was eligible and that I had met all the requirements ( and that I had completed those requirements before the deadline ). Unfortunately, they are now refusing to honor the promotion and will not give me the XXXX miles. They just sent me a letter stating that I was not "" targeted '' for this offer and so they will not honor it because only "" targeted '' clients are eligible and that because I was n't supposedly "" targeted '', that means I "" will not qualify for this promotion ''. However, they told me no such thing when I applied, nor at any point during my numerous conversations with them. In fact, they kept reiterating that I was eligible and that I had qualified by meeting all the stated requirements. Please help.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CITIBANK, N.A.",MI,483XX,Older American,Consent provided,Web,8/1/16,Closed with non-monetary relief,Yes,No,2039620
06/21/16,Bank account or service,Checking account,"Account opening, closing, or management",None,"This is about a promotion Citibank had in XXXX of 2015 where one would get XXXX points for opening a Citi gold checking account and meeting certain requirements. After I signed up for the promotion, I confirmed with a Citi customer service rep that I am eligible for the promotion. Now after 6 months, Citi bank is claiming that I am not eligible for the promotion and declining to give me the above bonus.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CITIBANK, N.A.",IL,601XX,None,Consent provided,Web,06/21/16,Closed with non-monetary relief,Yes,No,1979170
10/22/15,Bank account or service,Other bank product/service,"Account opening, closing, or management",None,"I previously filed a complaint with you, it is the Case number : XXXX. My complaining is about unfair and deceptive business practices. Bankunited is offering in XXXX XXXX accounts an interest rate of XXXX for 3 months and afterwards, the interest rate is XXXX. However, I have a MM account with BankUnited for almost 20 years. XXXX has been lowering my interest rate until 0.3 %. This means that they have been giving me only a half of the return value, or interest rate that they should in relation with other customers. But, the market value of my money is the same as of those they called as "" new money ''. This "" new money '' is often the result of closing an account and re-opening it again. The first answer of my bank was they were unable to locate my account. Then, they said, that there were too many XXXX XXXX and they did not know who I am. Today, after 3 months dealing with them and waiting for a solution ... they offered me 3 months rate at XXXX and afterwards 0.6 %. I do not need the intervention of too many people or reps and 3 months waiting period for closing my account, sit in the lobby for XXXX min, and re-open my account again with "" new money ''. I would like to know if the CPFP is able to provide me any help or assistance? I am XXXX and I have enough neurons to be graduated from an university and this "" solution '' sound to me as a foolish. I would like to obtain your help if possible in handling this complaint. They are excusing behind an argument that customers has to be checking for "" bank offers '', but instead, they do change "" offers '' at its convenience b/c my XXXX account was openned at an interest rate of ( at least XXXX XXXX or higher. Then, the bank is able to reduce my interest rate without calling me and ask me if I agree or not with this change, but to increase my interest rate I have to be checking "" often for offers '' with the account administrators. All banks that I know offer a rate that is directly related with the amount of money in the account.",Company believes it acted appropriately as authorized by contract or law,"BANKUNITED, NATIONAL ASSOCIATION",FL,331XX,None,Consent provided,Web,10/22/15,Closed with explanation,Yes,Yes,1621033
10/16/15,Bank account or service,Checking account,"Account opening, closing, or management",None,"Submitted CFPB complaint no. XXXX on XX/XX/XXXX, matter was resolved and the fees were refunded. This matter has happened again with the XXXX XXXX XXXX of California and Bank of America. The XXXX XXXX XXXX, calculated my taxes on information provided by my ex-employer United States Postal Service and put a hold on my account with Bank of America. I did my tax return and mailed it in about XX/XX/XXXX, the tax board did not receive my tax return and issued a hold on my account on my account which was received by the Bank of America on XX/XX/XXXX. Bank of America withdrew its XXXX legal fees, {$12.00} service fees and XXXX to be sent to XXXX XXXX XXXX. On XX/XX/XXXX had to fax tax return the previous tax return that I had mailed in was not received. Spoke with XXXX XXXX from XXXX XXXX XXXX, who assured me that no legal fees would be charged because she had emailed to the bank a release. I had previously received a letter from Bank of America stating the the funds would be remitted to XXXX XXXX XXXX on XX/XX/XXXX unless there was a release or court order to the contrary before that date. The funds sent to the XXXX XXXX XXXX were returned but the legal fees were not. The orders sent by the XXXX XXXX XXXX, specifically state : Retain any funds withheld for 10 business days from the date you receive this order. Bank of America withheld my funds on XX/XX/XXXX which is three days after receiving the order. The letter they sent me stated they would remit the funds in 17 days after they received the order. Notify the taxpayer and any other person listed on the account or accounts that you are withholding funds according to this order and the date you will be transmitting the funds to the ( FTP ). The bank was to withheld the funds for ten days and they notified me that they would be remitting the funds in 17 days from the date they received the order. Transmit any funds withheld to us at the end of the 10 days holding period unless you received a release from us. The release was sent from XXXX XXXX XXXX on XX/XX/XXXX. Revenue and XXXX code section Code 18674 ( b ) states in part : An institution may asses the account or account of each person receiving this notice a reasonable service charge not to exceed XXXX dollars ( {$3.00} ). I am asking for a refund of {$100.00} dollars legal fee.",Company chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",PA,None,None,Consent provided,Web,10/16/15,Closed with monetary relief,Yes,No,1610118
10/22/16,Bank account or service,Checking account,"Account opening, closing, or management",None,"Popular Community Bank 's mobile application lists completely surcharge free atms on a map around you. I went to a listed surcharge free atm and was charged an atm fee and a bank fee. When I called Popular Community Bank customer support they said the atm was no longer in their network. Upon further questioning I was told the atm list has n't been updated since XXXX ( 7 days ). They said they 'd only give me a credit for the bank fee and not the atm fee because their system was wrong but it makes me wonder how many other consumers got stiffed with bank fees when unknowingly using atms that had not been removed from the app. I was not able to find out how often this happens. In their 2015 annual report to investors, Popular Community Bank claimed to serve XXXX clients with access to more than XXXX atms. If Popular was incorrectly charging bank fees for XXXX out of the XXXX atms in my community, then how many other communities and clients were affected and how much money in bank fees does Popular make during the time when their atm list is "" outdated ''?",Company has responded to the consumer and the CFPB and chooses not to provide a public response,POPULAR BANK,NY,112XX,None,Consent provided,Web,10/26/16,Closed with explanation,Yes,No,2173648
6/9/15,Bank account or service,Checking account,"Account opening, closing, or management",None,I had an account at Bank of America for years. About two years ago I went in to close it since I no longer used it. I was told there was no need to close it since it was a free account and there was no way they could change my account and start to charge my free account. I then left {$20.00} in the account to keep it active. This year I find out through XXXX that my account was low. It turns out my account was now {$16.00} in the hole and there was the threat to charge me an additional {$35.00} insufficient funds fee. Having no other option to close the account I had to pay them {$16.00}! No one would refund my account so essentially Bank of America stole {$36.00} from me. The {$20.00} that was in the account and the {$16.00} extra that I had to pay. Infuriating to be lied to by bankers that my account could never change. I would have closed it long ago if I knew they could change the terms of the account without my approval.,Company chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",TX,761XX,None,Consent provided,Web,6/9/15,Closed with explanation,Yes,No,1413115
7/9/16,Bank account or service,Other bank product/service,"Account opening, closing, or management",None,"On XXXX XXXX, 2016 Bank of America had a promotion filter on Snap Chat. It appeared to be a picture of a donkey that would face swap with the user and the donkey was holding a mobile phone with a Bank of America logo shown on it. My problem with the filter is that Bank of America did not disclose itself as an "" Equal Housing Lender '' but notified a user that is was a member of the FDIC. Is Bank of America no longer an "" Equal Housing Lender '' and discriminating? After seeing this I would probably not open an account there or apply for a refinance and I am currently in the market for a new Bank as I believe XXXX has significant UDAAP violations that are not being addressed through the complaint process. In addition, I am confused by the filter advertisement - is Bank of America announcing that it is filled with a bunch of Donkeys? A picture of the Snap Chat filter is attached to this complaint for reference purposes.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",MA,None,None,Consent provided,Web,7/9/16,Closed with explanation,Yes,Yes,2005057
02/17/17,Bank account or service,Checking account,"Account opening, closing, or management",None,"I had an Opportunity checking account with Wells Fargo that required one year of keeping an account in good standing -meaning it was to be an actively used account in order to have upgraded features after 1 year, such as ability for outside atm deposits, larger amount withdrawls, higher daily spending limit etc,. The account did not include any monthly service fees for having a direct deposit each month. At the one year mark around XXXX 2016 I visited the branch due to deposit issues and a misplaced direct deposited check from SSI which was somehow routed into a closed account ( i believe which was previously suspected to be compromised when charges I did not authorize began to occur ) My direct deposit was ultimately located but once that was resolved I also began to see monthly service charges that were not agreed upon, with the switch to a new and secured account, I was then not allowed the new account features as agreed upon. Staff stated my account had not been open a year, then once I escalated the concern to show what occurred, they then stated it was not in good standing due to overdraft charges ... but the overdraft charges were due to debit transactions that had been processing out of sequence or very delayed ( even though I tracked and managed my spending not to mention had been complimented by Bank teller employees about the good standing and mngmt of my account ) yet resulted in multiple overdraft fees mostly for reasons I could not decypher or was able to predict. Also, I was unable to process my car payment due to continued limits on my account ; the amount was declined to process on time resulting in fees to my lending company, so I immediately closed the account because of nit being able to have access to my own money in order to pay bills and the fact that Management refused to fully refund my money for their transaction processing errors resulting in multiple over draft fees. They would only agree to proving me with a portion of the costs despite lengthy conversations by phone, I was then instructed to just go into the branch and handle it with management. There was an issue with my car payment which actually DID then process after my account closure! & Fees added after the fact..I had to dispute this because it resukted in a dual car payment to my lender. I was refunded the money for this but would appreciate it being looked into further since it seems very unethical and I have not heard anything from Wells Fargo since.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,WELLS FARGO & COMPANY,CA,953XX,None,Consent provided,Web,02/23/17,Closed with explanation,No,No,2350132
06/24/16,Bank account or service,Savings account,"Account opening, closing, or management",None,I recently opened a savings account with Navy Federal Credit Union and was NOT told that they would perform a hard credit check as part of the process. I later found that the credit check release was in the account paperwork and they did not inform me that they would be doing a credit check. I found this highly deceptive and has impacted my credit score.,Company believes it acted appropriately as authorized by contract or law,NAVY FEDERAL CREDIT UNION,VA,232XX,None,Consent provided,Web,06/24/16,Closed with non-monetary relief,Yes,No,1984049
11/2/16,Bank account or service,Checking account,"Account opening, closing, or management",None,"Wells Fargo created an account for me and my girlfriend because we wanted to open a joint account. I had an existing account with them, and they said they would close it, and they never did. Consequently, I was charged monthly service fees and overdraft fees because the account had a {$0.00} balance because THEY XXXX the balance and lied about closing it. I spent days trying to get my account closed. I even sent follow up e-mails and no one responded to me. The reps I spoke with were XXXX XXXX from XXXX XXXX, PA, and someone named XXXX from XXXX. I also spoke to a female rep from XXXX who was extremely rude. They all lied to me and caused many problems, and costed me much money and time.",None,WELLS FARGO & COMPANY,PA,193XX,None,Consent provided,Web,11/2/16,Closed with monetary relief,No,No,2188623
